numero,densidadb,densidadp,replica,tamano,circ,at,numCF,densidadp_porc,at_n,tamanoat2,numCFat2,circat2,densidadp_num
18,0.02,0,1,579,0.892,824140,18,0,0.776039983,449.3271501,13.96871969,0.692227665,0
1,0.02,0,2,549,0.889,918668,10,0,0.865050961,474.9129776,8.650509611,0.769030304,0
2,0.02,0,2,648,0.884,918668,10,0,0.865050961,560.5530228,8.650509611,0.76470505,0
3,0.02,0,2,440,0.857,918668,10,0,0.865050961,380.6224229,8.650509611,0.741348674,0
4,0.02,0,2,1280,0.872,918668,10,0,0.865050961,1107.26523,8.650509611,0.754324438,0
5,0.02,0,2,500,0.952,918668,10,0,0.865050961,432.5254805,8.650509611,0.823528515,0
6,0.02,0,2,1096,0.835,918668,10,0,0.865050961,948.0958533,8.650509611,0.722317553,0
7,0.02,0,2,515,0.783,918668,10,0,0.865050961,445.501245,8.650509611,0.677334903,0
8,0.02,0,2,923,0.686,918668,10,0,0.865050961,798.4420371,8.650509611,0.593424959,0
9,0.02,0,2,877,0.8,918668,10,0,0.865050961,758.6496929,8.650509611,0.692040769,0
10,0.02,0,2,766,0.797,918668,10,0,0.865050961,662.6290362,8.650509611,0.689445616,0
1,0.02,0,3,1000,0.839,963326,16,0,0.907102546,907.1025464,14.51364074,0.761059036,0
2,0.02,0,3,264,0.618,963326,16,0,0.907102546,239.4750723,14.51364074,0.560589374,0
3,0.02,0,3,544,0.858,963326,16,0,0.907102546,493.4637853,14.51364074,0.778293985,0
4,0.02,0,3,533,0.927,963326,16,0,0.907102546,483.4856573,14.51364074,0.840884061,0
5,0.02,0,3,866,0.896,963326,16,0,0.907102546,785.5508052,14.51364074,0.812763882,0
6,0.02,0,3,1014,0.865,963326,16,0,0.907102546,919.8019821,14.51364074,0.784643703,0
7,0.02,0,3,893,0.86,963326,16,0,0.907102546,810.042574,14.51364074,0.78010819,0
8,0.02,0,3,553,0.87,963326,16,0,0.907102546,501.6277082,14.51364074,0.789179215,0
9,0.02,0,3,302,0.921,963326,16,0,0.907102546,273.944969,14.51364074,0.835441445,0
10,0.02,0,3,722,0.854,963326,16,0,0.907102546,654.9280385,14.51364074,0.774665575,0
11,0.02,0,3,297,0.896,963326,16,0,0.907102546,269.4094563,14.51364074,0.812763882,0
12,0.02,0,3,882,0.862,963326,16,0,0.907102546,800.064446,14.51364074,0.781922395,0
13,0.02,0,3,902,0.789,963326,16,0,0.907102546,818.2064969,14.51364074,0.715703909,0
14,0.02,0,3,553,0.826,963326,16,0,0.907102546,501.6277082,14.51364074,0.749266703,0
15,0.02,0,3,352,0.871,963326,16,0,0.907102546,319.3000963,14.51364074,0.790086318,0
16,0.02,0,3,556,0.809,963326,16,0,0.907102546,504.3490158,14.51364074,0.73384596,0
1,0.02,0,4,398,0.889,875771,12,0,0.824657597,328.2137236,9.895891163,0.733120604,0
2,0.02,0,4,994,0.839,875771,12,0,0.824657597,819.7096513,9.895891163,0.691887724,0
3,0.02,0,4,956,0.79,875771,12,0,0.824657597,788.3726626,9.895891163,0.651479502,0
4,0.02,0,4,468,0.911,875771,12,0,0.824657597,385.9397554,9.895891163,0.751263071,0
5,0.02,0,4,849,0.915,875771,12,0,0.824657597,700.1342998,9.895891163,0.754561701,0
6,0.02,0,4,731,0.887,875771,12,0,0.824657597,602.8247033,9.895891163,0.731471288,0
7,0.02,0,4,647,0.881,875771,12,0,0.824657597,533.5534652,9.895891163,0.726523343,0
8,0.02,0,4,713,0.911,875771,12,0,0.824657597,587.9808666,9.895891163,0.751263071,0
9,0.02,0,4,663,0.914,875771,12,0,0.824657597,546.7479868,9.895891163,0.753737044,0
10,0.02,0,4,751,0.891,875771,12,0,0.824657597,619.3178553,9.895891163,0.734769919,0
11,0.02,0,4,416,0.95,875771,12,0,0.824657597,343.0575603,9.895891163,0.783424717,0
12,0.02,0,4,537,0.877,875771,12,0,0.824657597,442.8411295,9.895891163,0.723224712,0
1,0.02,0,5,749,0.799,867514,16,0,0.816882508,611.8449982,13.07012012,0.652689124,0
2,0.02,0,5,881,0.841,867514,16,0,0.816882508,719.6734892,13.07012012,0.686998189,0
3,0.02,0,5,805,0.896,867514,16,0,0.816882508,657.5904186,13.07012012,0.731926727,0
4,0.02,0,5,657,0.917,867514,16,0,0.816882508,536.6918075,13.07012012,0.749081259,0
5,0.02,0,5,636,0.914,867514,16,0,0.816882508,519.5372748,13.07012012,0.746630612,0
6,0.02,0,5,587,0.914,867514,16,0,0.816882508,479.5100319,13.07012012,0.746630612,0
7,0.02,0,5,757,0.89,867514,16,0,0.816882508,618.3800582,13.07012012,0.727025432,0
8,0.02,0,5,379,0.893,867514,16,0,0.816882508,309.5984704,13.07012012,0.729476079,0
9,0.02,0,5,445,0.786,867514,16,0,0.816882508,363.5127159,13.07012012,0.642069651,0
10,0.02,0,5,862,0.896,867514,16,0,0.816882508,704.1527215,13.07012012,0.731926727,0
11,0.02,0,5,517,0.901,867514,16,0,0.816882508,422.3282564,13.07012012,0.736011139,0
12,0.02,0,5,367,0.915,867514,16,0,0.816882508,299.7958803,13.07012012,0.747447494,0
13,0.02,0,5,555,0.802,867514,16,0,0.816882508,453.3697917,13.07012012,0.655139771,0
14,0.02,0,5,536,0.782,867514,16,0,0.816882508,437.8490241,13.07012012,0.638802121,0
15,0.02,0,5,567,0.918,867514,16,0,0.816882508,463.1723818,13.07012012,0.749898142,0
16,0.02,0,5,826,0.867,867514,16,0,0.816882508,674.7449512,13.07012012,0.708237134,0
1,0.06,0,1,318,0.906,821949,28,0,0.773976858,246.1246409,21.67135203,0.701223034,0
2,0.06,0,1,245,0.917,821949,28,0,0.773976858,189.6243303,21.67135203,0.709736779,0
3,0.06,0,1,663,0.837,821949,28,0,0.773976858,513.146657,21.67135203,0.64781863,0
4,0.06,0,1,590,0.926,821949,28,0,0.773976858,456.6463464,21.67135203,0.716702571,0
5,0.06,0,1,544,0.876,821949,28,0,0.773976858,421.0434109,21.67135203,0.678003728,0
6,0.06,0,1,514,0.882,821949,28,0,0.773976858,397.8241051,21.67135203,0.682647589,0
7,0.06,0,1,806,0.859,821949,28,0,0.773976858,623.8253477,21.67135203,0.664846121,0
8,0.06,0,1,153,0.955,821949,28,0,0.773976858,118.4184593,21.67135203,0.7391479,0
9,0.06,0,1,227,0.912,821949,28,0,0.773976858,175.6927468,21.67135203,0.705866895,0
10,0.06,0,1,566,0.9,821949,28,0,0.773976858,438.0709018,21.67135203,0.696579172,0
11,0.06,0,1,501,0.908,821949,28,0,0.773976858,387.762406,21.67135203,0.702770987,0
12,0.06,0,1,189,0.921,821949,28,0,0.773976858,146.2816262,21.67135203,0.712832686,0
13,0.06,0,1,428,0.915,821949,28,0,0.773976858,331.2620953,21.67135203,0.708188825,0
14,0.06,0,1,320,0.918,821949,28,0,0.773976858,247.6725946,21.67135203,0.710510756,0
15,0.06,0,1,299,0.912,821949,28,0,0.773976858,231.4190806,21.67135203,0.705866895,0
16,0.06,0,1,616,0.886,821949,28,0,0.773976858,476.7697447,21.67135203,0.685743496,0
17,0.06,0,1,257,0.943,821949,28,0,0.773976858,198.9120526,21.67135203,0.729860177,0
18,0.06,0,1,824,0.906,821949,28,0,0.773976858,637.7569312,21.67135203,0.701223034,0
19,0.06,0,1,638,0.89,821949,28,0,0.773976858,493.7972356,21.67135203,0.688839404,0
20,0.06,0,1,687,0.848,821949,28,0,0.773976858,531.7221016,21.67135203,0.656332376,0
21,0.06,0,1,227,0.939,821949,28,0,0.773976858,175.6927468,21.67135203,0.72676427,0
22,0.06,0,1,1088,0.679,821949,28,0,0.773976858,842.0868218,21.67135203,0.525530287,0
23,0.06,0,1,377,0.918,821949,28,0,0.773976858,291.7892756,21.67135203,0.710510756,0
24,0.06,0,1,606,0.805,821949,28,0,0.773976858,469.0299761,21.67135203,0.623051371,0
25,0.06,0,1,575,0.895,821949,28,0,0.773976858,445.0366935,21.67135203,0.692709288,0
26,0.06,0,1,608,0.869,821949,28,0,0.773976858,470.5779298,21.67135203,0.67258589,0
27,0.06,0,1,298,0.933,821949,28,0,0.773976858,230.6451038,21.67135203,0.722120409,0
28,0.06,0,1,905,0.614,821949,28,0,0.773976858,700.4490567,21.67135203,0.475221791,0
1,0.06,0,2,497,0.827,1015292,23,0,0.956035608,475.1496974,21.988819,0.790641448,0
2,0.06,0,2,276,0.929,1015292,23,0,0.956035608,263.8658279,21.988819,0.88815708,0
3,0.06,0,2,281,0.92,1015292,23,0,0.956035608,268.646006,21.988819,0.87955276,0
4,0.06,0,2,649,0.879,1015292,23,0,0.956035608,620.4671099,21.988819,0.8403553,0
5,0.06,0,2,391,0.916,1015292,23,0,0.956035608,373.8099229,21.988819,0.875728617,0
6,0.06,0,2,610,0.791,1015292,23,0,0.956035608,583.1817212,21.988819,0.756224166,0
7,0.06,0,2,605,0.699,1015292,23,0,0.956035608,578.4015431,21.988819,0.66826889,0
8,0.06,0,2,299,0.912,1015292,23,0,0.956035608,285.8546469,21.988819,0.871904475,0
9,0.06,0,2,340,0.891,1015292,23,0,0.956035608,325.0521069,21.988819,0.851827727,0
10,0.06,0,2,598,0.886,1015292,23,0,0.956035608,571.7092939,21.988819,0.847047549,0
11,0.06,0,2,356,0.864,1015292,23,0,0.956035608,340.3486766,21.988819,0.826014766,0
12,0.06,0,2,727,0.849,1015292,23,0,0.956035608,695.0378874,21.988819,0.811674232,0
13,0.06,0,2,261,0.931,1015292,23,0,0.956035608,249.5252938,21.988819,0.890069152,0
14,0.06,0,2,315,0.897,1015292,23,0,0.956035608,301.1512167,21.988819,0.857563941,0
15,0.06,0,2,234,0.92,1015292,23,0,0.956035608,223.7123324,21.988819,0.87955276,0
16,0.06,0,2,509,0.923,1015292,23,0,0.956035608,486.6221247,21.988819,0.882420867,0
17,0.06,0,2,261,0.931,1015292,23,0,0.956035608,249.5252938,21.988819,0.890069152,0
18,0.06,0,2,496,0.841,1015292,23,0,0.956035608,474.1936618,21.988819,0.804025947,0
19,0.06,0,2,842,0.853,1015292,23,0,0.956035608,804.9819823,21.988819,0.815498374,0
20,0.06,0,2,273,0.936,1015292,23,0,0.956035608,260.9977211,21.988819,0.89484933,0
21,0.06,0,2,372,0.912,1015292,23,0,0.956035608,355.6452464,21.988819,0.871904475,0
22,0.06,0,2,857,0.809,1015292,23,0,0.956035608,819.3225165,21.988819,0.773432807,0
23,0.06,0,2,220,0.938,1015292,23,0,0.956035608,210.3278339,21.988819,0.896761401,0
1,0.06,0,3,478,0.897,809077,22,0,0.761856118,364.1672245,16.7608346,0.683384938,0
2,0.06,0,3,562,0.854,809077,22,0,0.761856118,428.1631385,16.7608346,0.650625125,0
3,0.06,0,3,778,0.826,809077,22,0,0.761856118,592.72406,16.7608346,0.629293154,0
4,0.06,0,3,1285,0.565,809077,22,0,0.761856118,978.9851119,16.7608346,0.430448707,0
5,0.06,0,3,403,0.908,809077,22,0,0.761856118,307.0280157,16.7608346,0.691765355,0
6,0.06,0,3,940,0.781,809077,22,0,0.761856118,716.1447512,16.7608346,0.595009628,0
7,0.06,0,3,285,0.951,809077,22,0,0.761856118,217.1289937,16.7608346,0.724525168,0
8,0.06,0,3,333,0.916,809077,22,0,0.761856118,253.6980874,16.7608346,0.697860204,0
9,0.06,0,3,1047,0.699,809077,22,0,0.761856118,797.6633558,16.7608346,0.532537427,0
10,0.06,0,3,845,0.791,809077,22,0,0.761856118,643.7684199,16.7608346,0.60262819,0
11,0.06,0,3,929,0.706,809077,22,0,0.761856118,707.7643339,16.7608346,0.537870419,0
12,0.06,0,3,485,0.91,809077,22,0,0.761856118,369.5002174,16.7608346,0.693289068,0
13,0.06,0,3,384,0.914,809077,22,0,0.761856118,292.5527494,16.7608346,0.696336492,0
14,0.06,0,3,377,0.939,809077,22,0,0.761856118,287.2197566,16.7608346,0.715382895,0
15,0.06,0,3,480,0.853,809077,22,0,0.761856118,365.6909368,16.7608346,0.649863269,0
16,0.06,0,3,900,0.863,809077,22,0,0.761856118,685.6705064,16.7608346,0.65748183,0
17,0.06,0,3,517,0.846,809077,22,0,0.761856118,393.8796131,16.7608346,0.644530276,0
18,0.06,0,3,365,0.918,809077,22,0,0.761856118,278.0774832,16.7608346,0.699383917,0
19,0.06,0,3,196,0.922,809077,22,0,0.761856118,149.3237992,16.7608346,0.702431341,0
20,0.06,0,3,426,0.86,809077,22,0,0.761856118,324.5507064,16.7608346,0.655196262,0
21,0.06,0,3,830,0.846,809077,22,0,0.761856118,632.3405781,16.7608346,0.644530276,0
22,0.06,0,3,533,0.899,809077,22,0,0.761856118,406.069311,16.7608346,0.68490865,0
1,0.1,0,1,471,0.891,843788,18,0,0.794541249,374.2289284,14.30174249,0.707936253,0
2,0.1,0,1,727,0.893,843788,18,0,0.794541249,577.6314882,14.30174249,0.709525336,0
3,0.1,0,1,593,0.906,843788,18,0,0.794541249,471.1629608,14.30174249,0.719854372,0
4,0.1,0,1,707,0.798,843788,18,0,0.794541249,561.7406632,14.30174249,0.634043917,0
5,0.1,0,1,1166,0.829,843788,18,0,0.794541249,926.4350966,14.30174249,0.658674696,0
6,0.1,0,1,505,0.898,843788,18,0,0.794541249,401.2433309,14.30174249,0.713498042,0
7,0.1,0,1,629,0.818,843788,18,0,0.794541249,499.7664458,14.30174249,0.649934742,0
8,0.1,0,1,837,0.718,843788,18,0,0.794541249,665.0310256,14.30174249,0.570480617,0
9,0.1,0,1,746,0.838,843788,18,0,0.794541249,592.7277719,14.30174249,0.665825567,0
10,0.1,0,1,670,0.828,843788,18,0,0.794541249,532.342637,14.30174249,0.657880154,0
11,0.1,0,1,805,0.847,843788,18,0,0.794541249,639.6057056,14.30174249,0.672976438,0
12,0.1,0,1,1626,0.811,843788,18,0,0.794541249,1291.924071,14.30174249,0.644372953,0
13,0.1,0,1,219,0.917,843788,18,0,0.794541249,174.0045336,14.30174249,0.728594326,0
14,0.1,0,1,716,0.851,843788,18,0,0.794541249,568.8915345,14.30174249,0.676154603,0
15,0.1,0,1,393,0.906,843788,18,0,0.794541249,312.2547109,14.30174249,0.719854372,0
16,0.1,0,1,1104,0.74,843788,18,0,0.794541249,877.1735392,14.30174249,0.587960524,0
17,0.1,0,1,1433,0.653,843788,18,0,0.794541249,1138.57761,14.30174249,0.518835436,0
18,0.1,0,1,1072,0.775,843788,18,0,0.794541249,851.7482192,14.30174249,0.615769468,0
1,0.1,0,2,561,0.844,939972,21,0,0.885111577,496.5475946,18.58734311,0.747034171,0
2,0.1,0,2,508,0.861,939972,21,0,0.885111577,449.636681,18.58734311,0.762081068,0
3,0.1,0,2,728,0.842,939972,21,0,0.885111577,644.3612279,18.58734311,0.745263948,0
4,0.1,0,2,586,0.772,939972,21,0,0.885111577,518.675384,18.58734311,0.683306137,0
5,0.1,0,2,629,0.792,939972,21,0,0.885111577,556.7351818,18.58734311,0.701008369,0
6,0.1,0,2,485,0.918,939972,21,0,0.885111577,429.2791147,18.58734311,0.812532427,0
7,0.1,0,2,231,0.882,939972,21,0,0.885111577,204.4607742,18.58734311,0.780668411,0
8,0.1,0,2,455,0.871,939972,21,0,0.885111577,402.7257674,18.58734311,0.770932183,0
9,0.1,0,2,455,0.91,939972,21,0,0.885111577,402.7257674,18.58734311,0.805451535,0
10,0.1,0,2,686,0.893,939972,21,0,0.885111577,607.1865417,18.58734311,0.790404638,0
11,0.1,0,2,245,0.955,939972,21,0,0.885111577,216.8523363,18.58734311,0.845281556,0
12,0.1,0,2,573,0.883,939972,21,0,0.885111577,507.1689335,18.58734311,0.781553522,0
13,0.1,0,2,721,0.742,939972,21,0,0.885111577,638.1654468,18.58734311,0.65675279,0
14,0.1,0,2,778,0.833,939972,21,0,0.885111577,688.6168067,18.58734311,0.737297943,0
15,0.1,0,2,1266,0.782,939972,21,0,0.885111577,1120.551256,18.58734311,0.692157253,0
16,0.1,0,2,140,0.809,939972,21,0,0.885111577,123.9156207,18.58734311,0.716055266,0
17,0.1,0,2,1039,0.619,939972,21,0,0.885111577,919.6309282,18.58734311,0.547884066,0
18,0.1,0,2,734,0.784,939972,21,0,0.885111577,649.6718973,18.58734311,0.693927476,0
19,0.1,0,2,282,0.96,939972,21,0,0.885111577,249.6014646,18.58734311,0.849707114,0
20,0.1,0,2,318,0.919,939972,21,0,0.885111577,281.4654814,18.58734311,0.813417539,0
21,0.1,0,2,597,0.854,939972,21,0,0.885111577,528.4116113,18.58734311,0.755885287,0
1,0.1,0,3,405,0.871,875006,18,0,0.823937245,333.6945843,14.83087042,0.717649341,0
2,0.1,0,3,804,0.814,875006,18,0,0.823937245,662.4455452,14.83087042,0.670684918,0
